player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Jakobe Thomas,S,4,4,4,5.75,5.5,5,7,,,,,4,Carolina Panthers,carolina-panthers
Jermod McCoy,CB,4,4,4,1.0,1.0,1,1,,,,,3,Kansas City Chiefs,kansas-city-chiefs
Kaleb Proctor,DL,4,4,4,4.25,4.0,4,5,,,,,4,Atlanta Falcons,atlanta-falcons
Keldric Faulk,EDGE,4,4,4,1.0,1.0,1,1,,,,,4,Carolina Panthers,carolina-panthers
Keyron Crawford,EDGE,4,4,3,3.25,3.0,3,4,,,,,4,Chicago Bears,chicago-bears
Logan Jones,IOL,4,4,4,3.75,3.5,3,5,,,,,3,Chicago Bears,chicago-bears
Lorenzo Styles Jr.,CB,4,4,4,6.5,6.5,6,7,,,,,4,Chicago Bears,chicago-bears
Mansoor Delane,CB,4,4,4,1.0,1.0,1,1,,,,,3,Kansas City Chiefs,kansas-city-chiefs
Mason Reiger,EDGE,4,4,4,5.5,5.5,4,7,,,,,4,Carolina Panthers,carolina-panthers
Mikail Kamara,EDGE,4,4,4,5.25,5.0,4,7,,,,,4,Las Vegas Raiders,las-vegas-raiders
Nick Barrett,DL,4,4,4,5.75,6.0,4,7,,,,,4,Cincinnati Bengals,cincinnati-bengals
Nolan Rucci,OT,4,4,3,6.25,6.0,6,7,,,,,4,Cincinnati Bengals,cincinnati-bengals
Tim Keenan III,DL,4,4,4,4.75,5.0,4,5,,,,,4,Carolina Panthers,carolina-panthers
Ty Simpson,QB,4,4,4,1.5,1.5,1,2,,,,,3,Cleveland Browns,cleveland-browns
Aiden Fisher,LB,3,3,3,5.0,5.0,4,6,,,,,3,Buffalo Bills,buffalo-bills
Brandon Cisse,CB,3,3,3,2.0,2.0,2,2,,,,,3,Carolina Panthers,carolina-panthers
C.J. Allen,LB,3,3,3,1.3333333333333333,1.0,1,2,,,,,3,Houston Texans,houston-texans
C.J. Daniels,WR,3,3,3,5.0,4.0,4,7,,,,,3,Carolina Panthers,carolina-panthers
Caleb Banks,DL,3,3,3,2.3333333333333335,2.0,2,3,,,,,3,Cleveland Browns,cleveland-browns
Caleb Douglas,WR,3,3,3,6.333333333333333,7.0,5,7,,,,,3,Jacksonville Jaguars,jacksonville-jaguars
Carson Beck,QB,3,3,3,3.3333333333333335,3.0,3,4,,,,,2,Cleveland Browns,cleveland-browns
Charles Demmings,CB,3,3,3,4.666666666666667,4.0,4,6,,,,,3,Chicago Bears,chicago-bears
Cole Payton,QB,3,3,3,5.666666666666667,6.0,4,7,,,,,3,Denver Broncos,denver-broncos
Cyrus Allen,WR,3,3,3,4.666666666666667,5.0,4,5,,,,,2,Cleveland Browns,cleveland-browns
D'angelo Ponds,CB,3,3,3,2.3333333333333335,2.0,2,3,,,,,3,Cincinnati Bengals,cincinnati-bengals
